Data Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,1059,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,"Population, total",SP.POP.TOTL,670,749,1190,1668,923,1035,2580,4718,2661,2190,0,0,0,0,0,0,0,0,4353,4325,7044,1771,19,0,0,0,0,0,0,0,0,0,0,13,746,4146,107,2,0,2,1,95,112,0,17,23,121,93,86,123,126,79,444,1234,830,1234,862,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,22,24,20,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma,0,"Population, total",SP.POP.TOTL,3465,10222,2748,2411,164,216,1675,4226,2739,1897,1533,392,91,32,193,112,53,6,0,0,0,0,0,0,0,0,0,0,0,2853,987,1439,2846,2501,3852,2339,1704,7654,8205,3668,2022,11767,7701,6555,4974,5574,6365,2283,702,8739,5593,0,0,0,6778,4834,3939,5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,BDI,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,270,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,"Population, total",SP.POP.TOTL,55,163,721,1106,63,197,42,42,4,5,17,0,1145,743,135,88,28,2,72,87,15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,85,138,120,32,185,265,492,475,463,138,1061,20,271,82,1,0,3,242,1063,931,106,139,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,1248,1535,2845,3337,1952,1292,865,347,100,17,34,62,59,120,198,11,26,6,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,"Population, total",SP.POP.TOTL,400,460,495,2789,680,518,259,51,54,15,17,2,502,769,10,5,73,0,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,139,20,25,129,42,14,32,12,28,1208,590,1067,3,198,2388,1670,243,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,"Population, total",SP.POP.TOTL,9,3564,46,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11701,8494,3502,410,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,38,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,CHN,"Population, total",SP.POP.TOTL,862,50575,61553,10388,3325,856,2576,587,315,671,476,23,28,2,283,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,204,230,60,262,554,513,110,853,927,547,617,2974,2969,2050,502,1189,1444,1621,3551,2563,12720,9863,6466,5681,5464,22790,23164,4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,"Population, total",SP.POP.TOTL,3040,4818,3844,3235,5526,7203,3404,2572,2145,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,742,298,640,557,453,2787,1992,1334,1443,2659,1445,442,396,4903,7356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36,0,0,2,1,0,0,1,0,1,0,1,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,0,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529,1642,84,36,33,4,8,6,7,1,0,1,0,0,0,0,0,0,0,5,19,3,0,2,1,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,0,"Population, total",SP.POP.TOTL,2218,4591,2524,2832,4699,5214,6217,4663,1950,1181,3035,1408,3624,3775,5523,3262,3783,1913,1479,3800,1963,716,109,0,0,0,0,0,0,507,1497,1040,1956,2371,761,9140,2980,1337,1343,1497,1241,2270,3417,3253,2574,2873,3792,3269,6495,6394,4614,2658,4257,2148,6350,4122,2756,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Asia and Pacific,0,"Population, total",SP.POP.TOTL,30610,163193,212951,28049,12868,7766,8281,9174,5214,5857,5041,5661,5198,3472,17907,17360,56416,35294,12875,17311,16061,10081,2100,0,1,1,0,0,0,17142,12477,8078,14996,12259,15342,9819,5113,11407,16166,11428,6500,22402,19046,14142,10841,10300,11232,11716,10091,17268,25067,16292,13400,10239,50250,98966,38306,17242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,"Population, total",SP.POP.TOTL,660,251,174,665,708,2516,1831,669,913,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,9,1,1,16,196,31,374,505,203,234,237,89,58,401,18,23,3,0,10,12,28,32,144,2846,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,"Population, total",SP.POP.TOTL,3,9,2,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,93,309,519,799,762,2676,240,20,26,14,10,609,5691,1344,165,3,1,1,0,2,0,0,4138,11194,1355,416,170,16,416,509,416,1281,1193,623,1669,821,505,1723,2811,2580,1619,1724,2690,2221,1220,2357,4336,4186,1965,2130,2578,4096,3117,2824,1985,2934,7097,5222,2972,1567,1198,7895
El Salvador,SLV,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,37,0,484,246,10,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,15,62,44,80,178,834,2662,2832,1408,1604,990,1518,2586,551,733,300,124,358,466,426,179,722,25976,16999,5414,4436,3935,915,0,0,0,0,0,0,0,0,0,0,0,0,41,36,7,4,27,276,459,31,201,164,0,1,7,11,13,4,65,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,0,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe and Central Asia,0,"Population, total",SP.POP.TOTL,163,128,619,251,41,42,73,70,141,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173104,118428,78829,59195,37244,26067,27907,30578,24066,20713,17446,18561,22777,5439,5085,4350,1466,701,1448,2660,3739,2058,2798,13718,9780,3913,1818,1044,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,FIN,"Population, total",SP.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,27,91,12,2,2,1,0,2,1,3,5,4,2,1,2,38,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"French West Africa (Benin, Burkina Faso, Cote d'Ivoire, Guinea, Mali, Mauritania, Niger, Senegal)",0,"Population, total",SP.POP.TOTL,1890,3542,4046,7254,4659,3764,3958,5948,12693,6676,5751,6107,10890,9602,2868,2329,1372,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595,767,3009,2319,1586,4084,1810,1850,2635,2296,4691,3909,3128,2348,2353,1620,980,2007,7584,4787,7442,7734,7821,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,"Population, total",SP.POP.TOTL,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,689,215,17,16,24,7,4,5,2,2,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,"Population, total",SP.POP.TOTL,91,353,478,695,865,79,59,251,154,161,104,139,70,145,23,9,7,13,114,26,0,0,0,0,0,0,0,0,0,300,0,0,13,153,1468,883,57,8,184,185,378,12,1,48,0,59,43,123,389,77,1470,2025,20,143,702,1646,840,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,GRC,"Population, total",SP.POP.TOTL,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,292,2101,250,16,27,102,24,7,27,12,8,9,10,9,2,3,0,0,4,0,0,831,329,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,"Population, total",SP.POP.TOTL,10,10,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,10,29,23,9,38,40,52,21,60,11,8,6,1,6,9,5,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
